title,year,rank_in_year,macro_categoria,animation_studios
Ikoku Meiro no Croisée,2011,81,Otros Géneros,Satelight
Cardfight!! Vanguard,2011,82,Fantasía / Acción / Aventura,TMS Entertainment
Hyouge Mono,2011,83,Otros Géneros,Bee Train
Mitsudomoe Zouryouchuu!,2011,84,Otros Géneros,Bridge
Bakugan Battle Brawlers: Mechtanium Surge,2011,85,Híbrido (Acción + Sci-Fi),"TMS Entertainment, Studio Hibari"
Sengoku Otome: Momoiro Paradox,2011,86,Híbrido (Acción + Sci-Fi),TMS Entertainment
Last Exile: Ginyoku no Fam,2011,87,Híbrido (Acción + Sci-Fi),GONZO
Rio: Rainbow Gate!,2011,88,Otros Géneros,Xebec
Kidou Senshi Gundam AGE,2011,89,Híbrido (Acción + Sci-Fi),Sunrise
Digimon Xros Wars: Aku no Death General to Nanatsu no Oukoku,2011,90,Híbrido (Acción + Sci-Fi),Toei Animation
Nekogami Yaoyorozu,2011,91,Otros Géneros,"AIC Plus+, AIC"
Pretty Rhythm: Aurora Dream,2011,92,Otros Géneros,"Nomad, Tatsunoko Production"
Softenni,2011,93,Otros Géneros,Xebec
Digimon Xros Wars: Toki wo Kakeru Shounen Hunter-tachi,2011,94,Híbrido (Acción + Sci-Fi),Toei Animation
Suite Precure♪,2011,95,Fantasía / Acción / Aventura,Toei Animation
Blade,2011,96,Fantasía / Acción / Aventura,MADHOUSE
X-Men,2011,97,Fantasía / Acción / Aventura,MADHOUSE
Moshidora,2011,98,Otros Géneros,Production I.G
Wolverine,2011,99,Fantasía / Acción / Aventura,MADHOUSE
Dororon Enma-kun Meeramera,2011,100,Fantasía / Acción / Aventura,Brain's Base
Sword Art Online,2012,1,Fantasía / Acción / Aventura,A-1 Pictures
JoJo no Kimyou na Bouken (TV),2012,2,Fantasía / Acción / Aventura,David Production
Another,2012,3,Otros Géneros,P.A.WORKS
PSYCHO-PASS,2012,4,Híbrido (Acción + Sci-Fi),Production I.G
Hyouka,2012,5,Otros Géneros,"Kyoto Animation, Animation Do"
Chuunibyou demo Koi ga Shitai!,2012,6,Otros Géneros,"Kyoto Animation, Animation Do"
High School DxD,2012,7,Fantasía / Acción / Aventura,TNK
Kuroko no Basket,2012,8,Otros Géneros,Production I.G
Sakurasou no Pet na Kanojo,2012,9,Otros Géneros,J.C.STAFF
Tonari no Kaibutsu-kun,2012,10,Otros Géneros,Brain's Base
Fate/Zero 2nd Season,2012,11,Fantasía / Acción / Aventura,"ufotable, ufotable"
Magi: The labyrinth of magic,2012,12,Fantasía / Acción / Aventura,A-1 Pictures
Danshi Koukousei no Nichijou,2012,13,Otros Géneros,Sunrise
Kokoro Connect,2012,14,Otros Géneros,"SILVER LINK., Enterbrain"
Nisemonogatari,2012,15,Otros Géneros,Shaft
Shinsekai yori,2012,16,Sci-Fi / Mecha Puro,A-1 Pictures
K,2012,17,Fantasía / Acción / Aventura,GoHands
Kamisama Hajimemashita,2012,18,Fantasía / Acción / Aventura,TMS Entertainment
BTOOOM!,2012,19,Híbrido (Acción + Sci-Fi),MADHOUSE
Sukitte Ii na yo.,2012,20,Otros Géneros,ZEXCS
Nekomonogatari (Kuro),2012,21,Otros Géneros,Shaft
Accel World,2012,22,Híbrido (Acción + Sci-Fi),Sunrise
Sankarea,2012,23,Otros Géneros,Studio DEEN
Zetsuen no Tempest,2012,24,Fantasía / Acción / Aventura,bones
Sakamichi no Apollon,2012,25,Otros Géneros,"Tezuka Productions, MAPPA"
Inu x Boku SS,2012,26,Otros Géneros,David Production
Tasogare Otome x Amnesia,2012,27,Otros Géneros,SILVER LINK.
Hagure Yuusha no Estetica,2012,28,Fantasía / Acción / Aventura,Arms
Jormungand,2012,29,Fantasía / Acción / Aventura,WHITE FOX
Ano Natsu de Matteru,2012,30,Sci-Fi / Mecha Puro,J.C.STAFF
"Dakara Boku wa, H ga Dekinai.",2012,31,Otros Géneros,feel.
Girls und Panzer,2012,32,Fantasía / Acción / Aventura,Actas
Gintama': Enchousen,2012,33,Híbrido (Acción + Sci-Fi),Sunrise
Haiyore! Nyaruko-san,2012,34,Sci-Fi / Mecha Puro,Xebec
Nazo no Kanojo X,2012,35,Otros Géneros,Hoods Entertainment
To LOVE-Ru Darkness,2012,36,Sci-Fi / Mecha Puro,Xebec
Zero no Tsukaima F,2012,37,Fantasía / Acción / Aventura,J.C.STAFF
Campione!: Matsurowanu Kamigami to Kamigoroshi no Maou,2012,38,Otros Géneros,diomedéa
Acchi Kocchi,2012,39,Otros Géneros,"AIC, Jumondou"
Onii-chan Dakedo Ai Sae Areba Kankeinai yo ne!,2012,40,Otros Géneros,"SILVER LINK., Nexus"
Little Busters!,2012,41,Otros Géneros,J.C.STAFF
Black★Rock Shooter (TV),2012,42,Fantasía / Acción / Aventura,"Ordet, SANZIGEN"
Kore wa Zombie desu ka? of the Dead,2012,43,Fantasía / Acción / Aventura,Studio DEEN
CØDE:BREAKER,2012,44,Fantasía / Acción / Aventura,Kinema Citrus
Joshiraku,2012,45,Otros Géneros,J.C.STAFF
Medaka Box,2012,46,Fantasía / Acción / Aventura,"Gainax, Asahi Production"
Bakuman. 3,2012,47,Otros Géneros,J.C.STAFF
Oda Nobuna no Yabou,2012,48,Fantasía / Acción / Aventura,"MADHOUSE, Studio Gokumi"
Jinrui wa Suitai Shimashita,2012,49,Híbrido (Acción + Sci-Fi),"AIC A.S.T.A., AIC"
Kingdom,2012,50,Fantasía / Acción / Aventura,Studio Pierrot
Koi to Senkyo to Chocolate,2012,51,Otros Géneros,AIC Build
Binbougami ga!,2012,52,Fantasía / Acción / Aventura,Sunrise
Uchuu Kyoudai,2012,53,Sci-Fi / Mecha Puro,A-1 Pictures
Natsume Yuujinchou Shi,2012,54,Fantasía / Acción / Aventura,Brain's Base
Yuru Yuri♪♪,2012,55,Otros Géneros,Doga Kobo
Senki Zesshou Symphogear,2012,56,Híbrido (Acción + Sci-Fi),"Satelight, Encourage Films, Studio Pastoral"
"Kono Naka ni Hitori, Imouto ga Iru!",2012,57,Otros Géneros,Studio Gokumi
Robotics;Notes,2012,58,Sci-Fi / Mecha Puro,Production I.G
Jormungand: PERFECT ORDER,2012,59,Fantasía / Acción / Aventura,WHITE FOX
TARI TARI,2012,60,Otros Géneros,P.A.WORKS
Papa no Iukoto wo Kikinasai!,2012,61,Otros Géneros,feel.
Initial D Fifth Stage,2012,62,Fantasía / Acción / Aventura,SynergySP
Tsuritama,2012,63,Sci-Fi / Mecha Puro,"A-1 Pictures, Sakura Create"
Amagami SS+ plus,2012,64,Otros Géneros,AIC
Arcana Famiglia: La storia della Arcana Famiglia,2012,65,Otros Géneros,J.C.STAFF
Kill Me Baby,2012,66,Otros Géneros,J.C.STAFF
Medaka Box Abnormal,2012,67,Fantasía / Acción / Aventura,"Gainax, Asahi Production"
Zetman,2012,68,Híbrido (Acción + Sci-Fi),"TMS Entertainment, Sakura Create"
Brave 10,2012,69,Fantasía / Acción / Aventura,TMS Entertainment
Ixion Saga DT,2012,70,Fantasía / Acción / Aventura,Brain's Base
LUPIN the Third: Mine Fujiko to Iu Onna,2012,71,Fantasía / Acción / Aventura,TMS Entertainment
Shirokuma Cafe,2012,72,Otros Géneros,Studio Pierrot
Dog Days',2012,73,Fantasía / Acción / Aventura,Seven Arcs
Pocket Monsters Best Wishes! Season 2,2012,74,Fantasía / Acción / Aventura,OLM
Rinne no Lagrange,2012,75,Híbrido (Acción + Sci-Fi),"Production I.G, Xebec"
NARUTO SD Rock Lee no Seishun Full-Power Ninden,2012,76,Fantasía / Acción / Aventura,Studio Pierrot
Natsuyuki Rendezvous,2012,77,Otros Géneros,Doga Kobo
Muv-Luv Alternative: Total Eclipse,2012,78,Híbrido (Acción + Sci-Fi),Satelight
Eureka Seven AO,2012,79,Híbrido (Acción + Sci-Fi),bones
Aquarion EVOL,2012,80,Híbrido (Acción + Sci-Fi),"Satelight, 8-bit"
Hiiro no Kakera,2012,81,Fantasía / Acción / Aventura,"Studio DEEN, Enterbrain"
Smile Precure!,2012,82,Fantasía / Acción / Aventura,Toei Animation
Mouretsu Pirates,2012,83,Sci-Fi / Mecha Puro,Satelight
Inazuma Eleven GO: Chrono Stone,2012,84,Híbrido (Acción + Sci-Fi),OLM
Kyoukaisenjou no Horizon II,2012,85,Fantasía / Acción / Aventura,Sunrise
Kimi to Boku. 2,2012,86,Otros Géneros,J.C.STAFF
Aikatsu!,2012,87,Otros Géneros,Sunrise
Area no Kishi,2012,88,Otros Géneros,Shin-Ei Animation
AKB0048,2012,89,Sci-Fi / Mecha Puro,Satelight
Natsuiro Kiseki,2012,90,Fantasía / Acción / Aventura,Sunrise
Shin Tennis no Ouji-sama,2012,91,Fantasía / Acción / Aventura,"Production I.G, M.S.C"
Hayate no Gotoku!: CAN'T TAKE MY EYES OFF YOU,2012,92,Otros Géneros,Manglobe
Yu☆Gi☆Oh! ZEXAL II,2012,93,Fantasía / Acción / Aventura,Studio Gallop
Saki: Achiga-hen - episode of side-A,2012,94,Otros Géneros,Studio Gokumi
Hakuouki: Reimeiroku,2012,95,Fantasía / Acción / Aventura,Studio DEEN
Saint Seiya Omega,2012,96,Fantasía / Acción / Aventura,Toei Animation
Queen's Blade: Rebellion,2012,97,Fantasía / Acción / Aventura,Arms
Phi Brain: Kami no Puzzle 2nd Season,2012,98,Fantasía / Acción / Aventura,Sunrise
Hidamari Sketch x Honeycomb,2012,99,Otros Géneros,Shaft
Shining Hearts: Shiawase no Pan,2012,100,Fantasía / Acción / Aventura,Production I.G
Shingeki no Kyojin,2013,1,Fantasía / Acción / Aventura,"WIT STUDIO, Production I.G"
Kill la Kill,2013,2,Fantasía / Acción / Aventura,TRIGGER
Hataraku Maou-sama!,2013,3,Fantasía / Acción / Aventura,WHITE FOX
Yahari Ore no Seishun Love Come wa Machigatteiru.,2013,4,Otros Géneros,Brain's Base
Kyoukai no Kanata,2013,5,Fantasía / Acción / Aventura,Kyoto Animation
Golden Time,2013,6,Otros Géneros,J.C.STAFF
Date A Live,2013,7,Híbrido (Acción + Sci-Fi),AIC Plus+
Log Horizon,2013,8,Fantasía / Acción / Aventura,Satelight
Danganronpa: Kibou no Gakuen to Zetsubou no Koukousei - The Animation,2013,9,Sci-Fi / Mecha Puro,Lerche
High School DxD NEW,2013,10,Fantasía / Acción / Aventura,TNK
Free!,2013,11,Otros Géneros,"Kyoto Animation, Animation Do"
Kuroko no Basket 2nd SEASON,2013,12,Otros Géneros,Production I.G
Monogatari Series: Second Season,2013,13,Otros Géneros,Shaft
Magi: The kingdom of magic,2013,14,Fantasía / Acción / Aventura,A-1 Pictures
Watashi ga Motenai no wa Dou Kangaetemo Omaera ga Warui!,2013,15,Otros Géneros,SILVER LINK.
Blood Lad,2013,16,Fantasía / Acción / Aventura,Brain's Base
Nagi no Asukara,2013,17,Fantasía / Acción / Aventura,P.A.WORKS
Ore no Kanojo to Osananajimi ga Shuraba Sugiru,2013,18,Otros Géneros,A-1 Pictures
Tamako Market,2013,19,Otros Géneros,"Kyoto Animation, Animation Do"
Strike the Blood,2013,20,Fantasía / Acción / Aventura,"SILVER LINK., CONNECT"
Mondaiji-tachi ga Isekai kara Kuru Sou desu yo?,2013,21,Fantasía / Acción / Aventura,diomedéa
Non Non Biyori,2013,22,Otros Géneros,SILVER LINK.
Love Live! School idol project,2013,23,Otros Géneros,Sunrise
Maoyuu Maou Yuusha,2013,24,Fantasía / Acción / Aventura,Arms
Boku wa Tomodachi ga Sukunai NEXT,2013,25,Otros Géneros,AIC Build
Tokyo Ravens,2013,26,Fantasía / Acción / Aventura,8-bit
Toaru Kagaku no Railgun S,2013,27,Híbrido (Acción + Sci-Fi),J.C.STAFF
Hentai Ouji to Warawanai Neko.,2013,28,Otros Géneros,J.C.STAFF
Ore no Imouto ga Konna ni Kawaii Wake ga Nai.,2013,29,Otros Géneros,A-1 Pictures
"Ore no Nounai Sentakushi ga, Gakuen Love Comedy wo Zenryoku de Jama Shiteiru",2013,30,Otros Géneros,diomedéa
Outbreak Company,2013,31,Fantasía / Acción / Aventura,feel.
IS: Infinite Stratos 2,2013,32,Híbrido (Acción + Sci-Fi),8-bit
Kotoura-san,2013,33,Otros Géneros,AIC
Suisei no Gargantia,2013,34,Híbrido (Acción + Sci-Fi),Production I.G
Yuusha ni Narenakatta Ore wa Shibushibu Shuushoku wo Ketsui Shimashita.,2013,35,Fantasía / Acción / Aventura,Asread
Gin no Saji,2013,36,Otros Géneros,A-1 Pictures
Machine-Doll wa Kizutsukanai,2013,37,Fantasía / Acción / Aventura,Lerche
Kami nomi zo Shiru Sekai: Megami-hen,2013,38,Otros Géneros,Manglobe
Kyousougiga (TV),2013,39,Fantasía / Acción / Aventura,Toei Animation
Diamond no Ace,2013,40,Otros Géneros,"Production I.G, MADHOUSE"
WHITE ALBUM 2,2013,41,Otros Géneros,Satelight
Aku no Hana,2013,42,Otros Géneros,ZEXCS
Hajime no Ippo: Rising,2013,43,Otros Géneros,"MADHOUSE, MAPPA"
Chihayafuru 2,2013,44,Otros Géneros,MADHOUSE
Servant x Service,2013,45,Otros Géneros,A-1 Pictures
Love Lab,2013,46,Otros Géneros,Doga Kobo
Yowamushi Pedal,2013,47,Otros Géneros,TMS Entertainment
Kiniro Mosaic,2013,48,Otros Géneros,Studio Gokumi
Pocket Monsters XY,2013,49,Fantasía / Acción / Aventura,OLM
AMNESIA,2013,50,Fantasía / Acción / Aventura,Brain's Base
Uchouten Kazoku,2013,51,Fantasía / Acción / Aventura,P.A.WORKS
Kamisama no Inai Nichiyoubi,2013,52,Fantasía / Acción / Aventura,MADHOUSE
Gatchaman Crowds,2013,53,Híbrido (Acción + Sci-Fi),Tatsunoko Production
GJ-bu,2013,54,Otros Géneros,Doga Kobo
Haiyore! Nyaruko-san W,2013,55,Sci-Fi / Mecha Puro,Xebec
Karneval (TV),2013,56,Híbrido (Acción + Sci-Fi),Manglobe
Choujigen Game Neptune THE ANIMATION,2013,57,Híbrido (Acción + Sci-Fi),David Production
Kakumeiki Valvrave,2013,58,Híbrido (Acción + Sci-Fi),Sunrise
Little Busters!: Refrain,2013,59,Otros Géneros,J.C.STAFF
Samurai Flamenco,2013,60,Fantasía / Acción / Aventura,Manglobe
Yozakura Quartet: Hana no Uta,2013,61,Fantasía / Acción / Aventura,Tatsunoko Production
Yuyushiki,2013,62,Otros Géneros,Kinema Citrus
Inu to Hasami wa Tsukaiyou,2013,63,Otros Géneros,"GONZO, Enterbrain, DLE"
Senran Kagura,2013,64,Fantasía / Acción / Aventura,Artland
Aoki Hagane no Arpeggio: Ars Nova,2013,65,Híbrido (Acción + Sci-Fi),SANZIGEN
Zettai Karen Children: THE UNLIMITED - Hyoubu Kyousuke,2013,66,Híbrido (Acción + Sci-Fi),Manglobe
BROTHERS CONFLICT,2013,67,Otros Géneros,Brain's Base
Kimi no Iru Machi,2013,68,Otros Géneros,"GONZO, Millepensee"
Freezing Vibration,2013,69,Híbrido (Acción + Sci-Fi),A.C.G.T.
Devil Survivor 2: THE ANIMATION,2013,70,Fantasía / Acción / Aventura,Bridge
Photokano,2013,71,Otros Géneros,"MADHOUSE, Enterbrain"
Walkure Romanze,2013,72,Otros Géneros,8-bit
Coppelion,2013,73,Híbrido (Acción + Sci-Fi),GoHands
Kingdom 2nd Season,2013,74,Fantasía / Acción / Aventura,Studio Pierrot
Senki Zesshou Symphogear G,2013,75,Híbrido (Acción + Sci-Fi),Satelight
RDG: Red Data Girl,2013,76,Otros Géneros,P.A.WORKS
Dansai Bunri no Crime Edge,2013,77,Fantasía / Acción / Aventura,Studio Gokumi
Sasami-san@Ganbaranai,2013,78,Otros Géneros,Shaft
Cuticle Tantei Inaba,2013,79,Fantasía / Acción / Aventura,ZEXCS
Kakumeiki Valvrave 2,2013,80,Híbrido (Acción + Sci-Fi),Sunrise
Hakkenden: Touhou Hakken Ibun,2013,81,Fantasía / Acción / Aventura,Studio DEEN
Makai Ouji: devils and realist,2013,82,Fantasía / Acción / Aventura,Doga Kobo
Hyakka Ryouran: Samurai Bride,2013,83,Fantasía / Acción / Aventura,Arms
Gundam Build Fighters,2013,84,Híbrido (Acción + Sci-Fi),Sunrise
Mushibugyou,2013,85,Fantasía / Acción / Aventura,Seven Arcs
BlazBlue: Alter Memory,2013,86,Fantasía / Acción / Aventura,Hoods Entertainment
Uta no☆Prince-sama♪ Maji LOVE 2000%,2013,87,Otros Géneros,A-1 Pictures
Vividred Operation,2013,88,Híbrido (Acción + Sci-Fi),A-1 Pictures
Rozen Maiden (2013),2013,89,Fantasía / Acción / Aventura,Studio DEEN
Pocket Monsters Best Wishes! Season 2: Episode N,2013,90,Fantasía / Acción / Aventura,OLM
Sekai de Ichiban Tsuyoku Naritai!,2013,91,Fantasía / Acción / Aventura,Arms
Inazuma Eleven Go: Galaxy,2013,92,Sci-Fi / Mecha Puro,OLM
Genei wo Kakeru Taiyou,2013,93,Fantasía / Acción / Aventura,AIC
Pocket Monsters Best Wishes! Season 2: Decolora Adventure,2013,94,Fantasía / Acción / Aventura,OLM
Kitakubu Katsudou Kiroku,2013,95,Otros Géneros,Nomad
Stella Jogakuin Koutou-ka C³-bu,2013,96,Otros Géneros,Gainax
Minami-ke: Tadaima,2013,97,Otros Géneros,feel.
Genshiken Nidaime,2013,98,Otros Géneros,Production I.G
Arata Kangatari,2013,99,Fantasía / Acción / Aventura,"Satelight, JM animation"
Galilei Donna,2013,100,Híbrido (Acción + Sci-Fi),A-1 Pictures
Tokyo Ghoul,2014,1,Fantasía / Acción / Aventura,"Studio Pierrot, Studio Pierrot"
Shigatsu wa Kimi no Uso,2014,2,Otros Géneros,A-1 Pictures
Haikyuu!!,2014,3,Otros Géneros,Production I.G
No Game No Life,2014,4,Fantasía / Acción / Aventura,MADHOUSE
Noragami,2014,5,Fantasía / Acción / Aventura,bones
Akame ga Kill!,2014,6,Fantasía / Acción / Aventura,WHITE FOX
Nanatsu no Taizai,2014,7,Fantasía / Acción / Aventura,A-1 Pictures
Kiseijuu: Sei no Kakuritsu,2014,8,Híbrido (Acción + Sci-Fi),MADHOUSE
Sword Art Online II,2014,9,Híbrido (Acción + Sci-Fi),A-1 Pictures
JoJo no Kimyou na Bouken: Stardust Crusaders,2014,10,Fantasía / Acción / Aventura,David Production
Zankyou no Terror,2014,11,Otros Géneros,MAPPA
Nisekoi,2014,12,Otros Géneros,Shaft
Fate/stay night: Unlimited Blade Works,2014,13,Fantasía / Acción / Aventura,"ufotable, ufotable"
Mahouka Koukou no Rettousei,2014,14,Híbrido (Acción + Sci-Fi),MADHOUSE
Ao Haru Ride,2014,15,Otros Géneros,Production I.G
Gekkan Shoujo Nozaki-kun,2014,16,Otros Géneros,Doga Kobo
Akatsuki no Yona,2014,17,Fantasía / Acción / Aventura,Studio Pierrot
Black Bullet,2014,18,Híbrido (Acción + Sci-Fi),"Kinema Citrus, Orange"
Trinity Seven,2014,19,Fantasía / Acción / Aventura,"Seven Arcs, Plum"
FAIRY TAIL (2014),2014,20,Fantasía / Acción / Aventura,"A-1 Pictures, Bridge"
Chuunibyou demo Koi ga Shitai! Ren,2014,21,Otros Géneros,Kyoto Animation
Amagi Brilliant Park,2014,22,Fantasía / Acción / Aventura,Kyoto Animation
Barakamon,2014,23,Otros Géneros,Kinema Citrus
Date A Live II,2014,24,Híbrido (Acción + Sci-Fi),"AIC Plus+, Production IMS"
Grisaia no Kajitsu,2014,25,Otros Géneros,8-bit
PSYCHO-PASS 2,2014,26,Híbrido (Acción + Sci-Fi),"Tatsunoko Production, Production I.G"
Log Horizon 2,2014,27,Fantasía / Acción / Aventura,Studio DEEN
Ping Pong THE ANIMATION,2014,28,Otros Géneros,Tatsunoko Production
Hanamonogatari,2014,29,Otros Géneros,Shaft
Tsukimonogatari,2014,30,Otros Géneros,Shaft
World Trigger,2014,31,Híbrido (Acción + Sci-Fi),Toei Animation
SHIROBAKO,2014,32,Otros Géneros,P.A.WORKS
Inou-Battle wa Nichijou-kei no Naka de,2014,33,Fantasía / Acción / Aventura,TRIGGER
Aldnoah.Zero,2014,34,Híbrido (Acción + Sci-Fi),"A-1 Pictures, TROYCA"
Ookami Shoujo to Kuro Ouji,2014,35,Otros Géneros,TYO Animations
Mekakucity Actors,2014,36,Sci-Fi / Mecha Puro,Shaft
Mikakunin de Shinkoukei,2014,37,Otros Géneros,Doga Kobo
Space☆Dandy,2014,38,Sci-Fi / Mecha Puro,bones
Shingeki no Bahamut: GENESIS,2014,39,Fantasía / Acción / Aventura,MAPPA
Free!: Eternal Summer,2014,40,Otros Géneros,"Kyoto Animation, Animation Do"
D-Frag!,2014,41,Otros Géneros,Brain's Base
Hitsugi no Chaika,2014,42,Fantasía / Acción / Aventura,bones
Witch Craft Works,2014,43,Fantasía / Acción / Aventura,J.C.STAFF
Kuroshitsuji: Book of Circus,2014,44,Fantasía / Acción / Aventura,A-1 Pictures
Madan no Ou to Vanadis,2014,45,Fantasía / Acción / Aventura,Satelight
Bokura wa Minna Kawaisou,2014,46,Otros Géneros,Brain's Base
Seirei Tsukai no Blade Dance,2014,47,Fantasía / Acción / Aventura,TNK
Isshuukan Friends.,2014,48,Otros Géneros,Brain's Base
Gokukoku no Brynhildr,2014,49,Híbrido (Acción + Sci-Fi),Arms
Sakura Trick,2014,50,Otros Géneros,Studio DEEN
Gochuumon wa Usagi desu ka?,2014,51,Otros Géneros,WHITE FOX
Soredemo Sekai wa Utsukushii,2014,52,Fantasía / Acción / Aventura,Studio Pierrot
Mushishi Zoku Shou,2014,53,Fantasía / Acción / Aventura,Artland
Love Live! School idol project 2nd Season,2014,54,Otros Géneros,Sunrise
Hamatora THE ANIMATION,2014,55,Otros Géneros,NAZ
Akuma no Riddle,2014,56,Fantasía / Acción / Aventura,diomedéa
Mushishi Zoku Shou 2,2014,57,Fantasía / Acción / Aventura,Artland
Seitokai Yakuindomo＊,2014,58,Otros Géneros,GoHands
Ryuugajou Nanana no Maizoukin,2014,59,Otros Géneros,A-1 Pictures
LOVE STAGE!!,2014,60,Otros Géneros,J.C.STAFF
Mahou Sensou,2014,61,Fantasía / Acción / Aventura,MADHOUSE
Dragon Ball Kai (2014),2014,62,Fantasía / Acción / Aventura,Toei Animation
Cross Ange: Tenshi to Ryuu no Rondo,2014,63,Híbrido (Acción + Sci-Fi),Sunrise
Yuuki Yuuna wa Yuusha de Aru,2014,64,Fantasía / Acción / Aventura,Studio Gokumi
Rail Wars!,2014,65,Fantasía / Acción / Aventura,Passione
Seikoku no Dragonar,2014,66,Fantasía / Acción / Aventura,C-Station
Nourin,2014,67,Otros Géneros,SILVER LINK.
Sidonia no Kishi,2014,68,Híbrido (Acción + Sci-Fi),POLYGON PICTURES
Kanojo ga Flag wo Oraretara,2014,69,Otros Géneros,Hoods Entertainment
Fate/kaleid liner Prisma☆Illya 2wei!,2014,70,Fantasía / Acción / Aventura,SILVER LINK.
Space☆Dandy 2,2014,71,Sci-Fi / Mecha Puro,bones
Hitsugi no Chaika: AVENGING BATTLE,2014,72,Fantasía / Acción / Aventura,bones
Terra Formars,2014,73,Híbrido (Acción + Sci-Fi),LIDENFILMS
Soul Eater Not!,2014,74,Fantasía / Acción / Aventura,bones
Sabagebu!,2014,75,Fantasía / Acción / Aventura,"Studio Signpost, Studio Pierrot"
"Ore, Twintail ni Narimasu.",2014,76,Fantasía / Acción / Aventura,Production IMS
Rokujouma no Shinryakusha!?,2014,77,Otros Géneros,SILVER LINK.
Gugure! Kokkuri-san,2014,78,Otros Géneros,TMS Entertainment
"Saikin, Imouto no Yousu ga Chotto Okashiinda ga.",2014,79,Otros Géneros,project No.9
Initial D Final Stage,2014,80,Fantasía / Acción / Aventura,SynergySP
"Inari, Konkon, Koi Iroha.",2014,81,Otros Géneros,Production IMS
selector infected WIXOSS,2014,82,Otros Géneros,J.C.STAFF
Re:_HAMATORA,2014,83,Otros Géneros,"Lerche, NAZ"
Sekai Seifuku: Bouryaku no Zvezda,2014,84,Fantasía / Acción / Aventura,A-1 Pictures
Glasslip,2014,85,Otros Géneros,P.A.WORKS
Tokyo ESP,2014,86,Fantasía / Acción / Aventura,Xebec
Gin no Saji 2,2014,87,Otros Géneros,A-1 Pictures
Maken-Ki! Tsuu,2014,88,Fantasía / Acción / Aventura,Xebec
Denki-Gai no Honya-san,2014,89,Otros Géneros,Shin-Ei Animation
DRAMAtical Murder,2014,90,Híbrido (Acción + Sci-Fi),NAZ
Daitoshokan no Hitsujikai,2014,91,Otros Géneros,"Hoods Entertainment, Felix Film"
Hanayamata,2014,92,Otros Géneros,MADHOUSE
Baby Steps,2014,93,Otros Géneros,Studio Pierrot
Hoozuki no Reitetsu,2014,94,Fantasía / Acción / Aventura,WIT STUDIO
Sora no Method,2014,95,Fantasía / Acción / Aventura,"Studio 3Hz, Orange"
Magic Kaito 1412,2014,96,Fantasía / Acción / Aventura,A-1 Pictures
GARO: Honoo no Kokuin,2014,97,Fantasía / Acción / Aventura,MAPPA
Donten ni Warau,2014,98,Fantasía / Acción / Aventura,Doga Kobo
Yowamushi Pedal: GRANDE ROAD,2014,99,Otros Géneros,TMS Entertainment
Kamigami no Asobi: Ludere deorum,2014,100,Fantasía / Acción / Aventura,"Brain's Base, Azeta Pictures"
One Punch Man,2015,1,Híbrido (Acción + Sci-Fi),MADHOUSE
Ansatsu Kyoushitsu,2015,2,Fantasía / Acción / Aventura,Lerche
Death Parade,2015,3,Otros Géneros,MADHOUSE
Charlotte,2015,4,Sci-Fi / Mecha Puro,P.A.WORKS
Tokyo Ghoul √A,2015,5,Fantasía / Acción / Aventura,"Studio Pierrot, Studio Pierrot"
Shokugeki no Souma,2015,6,Otros Géneros,J.C.STAFF
Haikyuu!! 2nd Season,2015,7,Otros Géneros,Production I.G
Overlord,2015,8,Fantasía / Acción / Aventura,MADHOUSE
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,2015,9,Fantasía / Acción / Aventura,J.C.STAFF
Owari no Seraph,2015,10,Fantasía / Acción / Aventura,WIT STUDIO
Noragami ARAGOTO,2015,11,Fantasía / Acción / Aventura,bones
JoJo no Kimyou na Bouken: Stardust Crusaders - Egypt-hen,2015,12,Fantasía / Acción / Aventura,David Production
Yahari Ore no Seishun Love Come wa Machigatteiru. Zoku,2015,13,Otros Géneros,feel.
Plastic Memories,2015,14,Sci-Fi / Mecha Puro,Doga Kobo
Prison School,2015,15,Otros Géneros,J.C.STAFF
Rakudai Kishi no Cavalry,2015,16,Fantasía / Acción / Aventura,"SILVER LINK., Nexus"
Kekkai Sensen,2015,17,Fantasía / Acción / Aventura,bones
Dragon Ball Super,2015,18,Híbrido (Acción + Sci-Fi),Toei Animation
Fate/stay night: Unlimited Blade Works 2nd Season,2015,19,Fantasía / Acción / Aventura,"ufotable, ufotable"
Shimoneta to Iu Gainen ga Sonzai Shinai Taikutsu na Sekai,2015,20,Otros Géneros,J.C.STAFF
Owari no Seraph: Nagoya Kessen-hen,2015,21,Fantasía / Acción / Aventura,WIT STUDIO
"GATE: Jieitai Kanochi nite, Kaku Tatakaeri",2015,22,Fantasía / Acción / Aventura,A-1 Pictures
Yamada-kun to 7-nin no Majo,2015,23,Otros Géneros,LIDENFILMS
Akagami no Shirayuki-hime,2015,24,Fantasía / Acción / Aventura,bones
Saenai Heroine no Sodatekata,2015,25,Otros Géneros,A-1 Pictures
High School DxD BorN,2015,26,Fantasía / Acción / Aventura,TNK
Himouto! Umaru-chan,2015,27,Otros Géneros,Doga Kobo
Monster Musume no Iru Nichijou,2015,28,Fantasía / Acción / Aventura,Lerche
Nisekoi:,2015,29,Otros Géneros,Shaft
Kuroko no Basket 3rd SEASON,2015,30,Otros Géneros,Production I.G
Shinmai Maou no Testament,2015,31,Fantasía / Acción / Aventura,Production IMS
